2,1.666667e-05
3,8.333333e-06
4,5.000000e-06
5,3.333333e-06
6,2.380952e-06
7,1.785714e-06
8,1.388889e-06
9,1.111111e-06
10,9.090909e-07
11,7.575758e-07
12,6.410256e-07
13,5.494505e-07
14,4.761905e-07
15,4.166667e-07
16,3.676471e-07
17,3.267974e-07
18,2.923977e-07
19,2.631579e-07
20,2.380952e-07
21,2.164502e-07
22,1.976285e-07
23,1.811594e-07
24,1.666667e-07
25,1.538462e-07
26,1.424501e-07
27,1.322751e-07
28,1.231527e-07
29,1.149425e-07
30,1.075269e-07
31,1.008065e-07
32,9.469697e-08
33,8.912656e-08
34,8.403361e-08
35,7.936508e-08
36,7.507508e-08
37,7.112376e-08
38,6.747638e-08
39,6.410256e-08
40,6.097561e-08
41,5.807201e-08
42,5.537099e-08
43,5.285412e-08
44,5.050505e-08
45,4.830918e-08
46,4.625347e-08
47,4.432624e-08
48,4.251701e-08
49,4.081633e-08
50,3.921569e-08
51,3.770739e-08
52,3.628447e-08
53,3.494060e-08
54,3.367003e-08
55,3.246753e-08
56,3.132832e-08
57,3.024803e-08
58,2.922268e-08
59,2.824859e-08
60,2.732240e-08
61,2.644104e-08
62,2.560164e-08
63,2.480159e-08
64,2.403846e-08
65,2.331002e-08
66,2.261420e-08
67,2.194908e-08
68,2.131287e-08
69,2.070393e-08
70,2.012072e-08
71,1.956182e-08
72,1.902588e-08
73,1.851166e-08
74,1.801802e-08
75,1.754386e-08
76,1.708817e-08
77,1.665002e-08
78,1.622850e-08
79,1.582278e-08
80,1.543210e-08
81,1.505571e-08
82,1.469292e-08
83,1.434309e-08
84,1.400560e-08
85,1.367989e-08
86,1.336541e-08
87,1.306165e-08
88,1.276813e-08
89,1.248439e-08
90,1.221001e-08
91,1.194458e-08
92,1.168770e-08
93,1.143903e-08
94,1.119821e-08
95,1.096491e-08
96,1.073883e-08
97,1.051967e-08
98,1.030715e-08
99,1.010101e-08
100,9.900990e-09
101,9.706853e-09
102,9.518370e-09
103,9.335325e-09
104,9.157509e-09
105,8.984726e-09
106,8.816787e-09
107,8.653513e-09
108,8.494733e-09
109,8.340284e-09
110,8.190008e-09
111,8.043758e-09
112,7.901391e-09
113,7.762770e-09
114,7.627765e-09
115,7.496252e-09
116,7.368111e-09
117,7.243228e-09
118,7.121493e-09
119,7.002801e-09
120,6.887052e-09
121,6.774150e-09
122,6.664001e-09
123,6.556517e-09
124,6.451613e-09
125,6.349206e-09
126,6.249219e-09
127,6.151575e-09
128,6.056202e-09
129,5.963029e-09
130,5.871991e-09
131,5.783021e-09
132,5.696058e-09
133,5.611043e-09
134,5.527916e-09
135,5.446623e-09
136,5.367110e-09
137,5.289326e-09
138,5.213221e-09
139,5.138746e-09
140,5.065856e-09
141,4.994506e-09
142,4.924653e-09
143,4.856255e-09
144,4.789272e-09
145,4.723666e-09
146,4.659398e-09
147,4.596433e-09
148,4.534736e-09
149,4.474273e-09
150,4.415011e-09
151,4.356919e-09
152,4.299966e-09
153,4.244122e-09
154,4.189359e-09
155,4.135649e-09
156,4.082966e-09
157,4.031283e-09
158,3.980575e-09
159,3.930818e-09
160,3.881988e-09
161,3.834062e-09
162,3.787018e-09
163,3.740835e-09
164,3.695492e-09
165,3.650968e-09
166,3.607243e-09
167,3.564300e-09
168,3.522119e-09
169,3.480682e-09
170,3.439972e-09
171,3.399973e-09
172,3.360667e-09
173,3.322038e-09
174,3.284072e-09
175,3.246753e-09
176,3.210067e-09
177,3.173999e-09
178,3.138535e-09
179,3.103662e-09
180,3.069368e-09
181,3.035638e-09
182,3.002462e-09
183,2.969827e-09
184,2.937720e-09
185,2.906132e-09
186,2.875050e-09
187,2.844465e-09
188,2.814365e-09
189,2.784740e-09
190,2.755580e-09
191,2.726876e-09
192,2.698618e-09
193,2.670798e-09
194,2.643405e-09
195,2.616431e-09
196,2.589868e-09
197,2.563708e-09
198,2.537942e-09
199,2.512563e-09
200,2.487562e-09
201,2.462933e-09
202,2.438668e-09
203,2.414759e-09
204,2.391200e-09
205,2.367985e-09
206,2.345106e-09
207,2.322557e-09
208,2.300331e-09
209,2.278423e-09
210,2.256827e-09
211,2.235536e-09
212,2.214545e-09
213,2.193848e-09
214,2.173441e-09
215,2.153316e-09
216,2.133470e-09
217,2.113897e-09
218,2.094592e-09
219,2.075550e-09
220,2.056767e-09
221,2.038237e-09
222,2.019957e-09
223,2.001922e-09
224,1.984127e-09
225,1.966568e-09
226,1.949242e-09
227,1.932143e-09
228,1.915269e-09
229,1.898614e-09
230,1.882176e-09
231,1.865950e-09
232,1.849933e-09
233,1.834122e-09
234,1.818512e-09
235,1.803101e-09
236,1.787885e-09
237,1.772861e-09
238,1.758025e-09
239,1.743375e-09
240,1.728907e-09
241,1.714619e-09
242,1.700507e-09
243,1.686568e-09
244,1.672800e-09
245,1.659200e-09
246,1.645765e-09
247,1.632493e-09
248,1.619381e-09
249,1.606426e-09
250,1.593625e-09
251,1.580978e-09
252,1.568480e-09
253,1.556130e-09
254,1.543925e-09
255,1.531863e-09
256,1.519942e-09
